id,work_province,work_dedication,salary_monthly_BRUTO,salary_monthly_NETO,profile_studies_level,profile_age,profile_gender,lenguaje_programacion,profile_years_experience
497,Ciudad Autónoma de Buenos Aires,Full-Time,109769,168900,Universitario,32,Varón Cis,bash/shell,3
497,Ciudad Autónoma de Buenos Aires,Full-Time,109769,168900,Universitario,32,Varón Cis,python,3
497,Ciudad Autónoma de Buenos Aires,Full-Time,109769,168900,Universitario,32,Varón Cis,sql,3
498,Ciudad Autónoma de Buenos Aires,Full-Time,700000,500000,NA,35,Varón Cis,python,6
499,Ciudad Autónoma de Buenos Aires,Full-Time,411000,271000,NA,36,Varón Cis,ninguno de los anteriores,10
500,Ciudad Autónoma de Buenos Aires,Full-Time,1300000,1300000,Secundario,36,Varón Cis,javascript,15
501,Ciudad Autónoma de Buenos Aires,Full-Time,248733,208950,Universitario,23,Varón Cis,css,4
501,Ciudad Autónoma de Buenos Aires,Full-Time,248733,208950,Universitario,23,Varón Cis,html,4
501,Ciudad Autónoma de Buenos Aires,Full-Time,248733,208950,Universitario,23,Varón Cis,javascript,4
501,Ciudad Autónoma de Buenos Aires,Full-Time,248733,208950,Universitario,23,Varón Cis,smalltalk,4
502,Ciudad Autónoma de Buenos Aires,Full-Time,1100000,1100000,NA,36,Varón Cis,sql,15
503,Ciudad Autónoma de Buenos Aires,Full-Time,200000,177000,Universitario,64,Varón Cis,bash/shell,45
504,Ciudad Autónoma de Buenos Aires,Full-Time,600000,6000000,Universitario,45,Varón Cis,java,10
505,Ciudad Autónoma de Buenos Aires,Full-Time,134,114,NA,28,Varón Cis,ninguno de los anteriores,2
506,Ciudad Autónoma de Buenos Aires,Full-Time,216000,180000,Universitario,24,Varón Cis,bash/shell,2
506,Ciudad Autónoma de Buenos Aires,Full-Time,216000,180000,Universitario,24,Varón Cis,python,2
507,Ciudad Autónoma de Buenos Aires,Full-Time,447000,299000,Universitario,28,Varón Cis,python,2
508,Ciudad Autónoma de Buenos Aires,Full-Time,320000,245000,NA,27,Varón Cis,python,3
508,Ciudad Autónoma de Buenos Aires,Full-Time,320000,245000,NA,27,Varón Cis,sql,3
509,Ciudad Autónoma de Buenos Aires,Full-Time,90000,75000,Universitario,30,Varón Cis,css,1
509,Ciudad Autónoma de Buenos Aires,Full-Time,90000,75000,Universitario,30,Varón Cis,html,1
509,Ciudad Autónoma de Buenos Aires,Full-Time,90000,75000,Universitario,30,Varón Cis,javascript,1
509,Ciudad Autónoma de Buenos Aires,Full-Time,90000,75000,Universitario,30,Varón Cis,python,1
509,Ciudad Autónoma de Buenos Aires,Full-Time,90000,75000,Universitario,30,Varón Cis,typescript,1
510,Ciudad Autónoma de Buenos Aires,Full-Time,150000,120000,Universitario,22,Varón Cis,.net,1.5
510,Ciudad Autónoma de Buenos Aires,Full-Time,150000,120000,Universitario,22,Varón Cis,c#,1.5
510,Ciudad Autónoma de Buenos Aires,Full-Time,150000,120000,Universitario,22,Varón Cis,sql,1.5
510,Ciudad Autónoma de Buenos Aires,Full-Time,150000,120000,Universitario,22,Varón Cis,vba,1.5
511,Ciudad Autónoma de Buenos Aires,Full-Time,312000,255000,NA,40,Varón Cis,ninguno de los anteriores,7
512,Ciudad Autónoma de Buenos Aires,Full-Time,580000,394000,Universitario,34,Varón Cis,powershell,5
513,Ciudad Autónoma de Buenos Aires,Full-Time,1600000,1000000,NA,33,Varón Cis,python,9
513,Ciudad Autónoma de Buenos Aires,Full-Time,1600000,1000000,NA,33,Varón Cis,sql,9
514,Ciudad Autónoma de Buenos Aires,Part-Time,900000,81474.04,NA,48,Varón Cis,html,10
515,Ciudad Autónoma de Buenos Aires,Full-Time,242465,206707,Universitario,29,Varón Cis,.net,4
515,Ciudad Autónoma de Buenos Aires,Full-Time,242465,206707,Universitario,29,Varón Cis,css,4
515,Ciudad Autónoma de Buenos Aires,Full-Time,242465,206707,Universitario,29,Varón Cis,javascript,4
515,Ciudad Autónoma de Buenos Aires,Full-Time,242465,206707,Universitario,29,Varón Cis,typescript,4
516,Ciudad Autónoma de Buenos Aires,Full-Time,486000,330000,Universitario,33,Varón Cis,ninguno de los anteriores,2
517,Ciudad Autónoma de Buenos Aires,Full-Time,100,100,NA,31,Varón Cis,php,0
517,Ciudad Autónoma de Buenos Aires,Full-Time,100,100,NA,31,Varón Cis,sql,0
518,Ciudad Autónoma de Buenos Aires,Full-Time,230000,200000,NA,25,Varón Cis,bash/shell,1
518,Ciudad Autónoma de Buenos Aires,Full-Time,230000,200000,NA,25,Varón Cis,go,1
518,Ciudad Autónoma de Buenos Aires,Full-Time,230000,200000,NA,25,Varón Cis,python,1
518,Ciudad Autónoma de Buenos Aires,Full-Time,230000,200000,NA,25,Varón Cis,sql,1
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,css,8
